,CKD0,CKD30,CKD35,CKD9,T1D0,T1D30,T1D35,T1D9,T2D0,T2D30,T2D35,T2D9,T3D0,T3D30,T3D35,T3D9,T4D0,T4D30,T4D35,T4D9
p__Firmicutes; g__Ureibacillus,5.492711753,1.046121924,0.652806842,1.751864987,6.918604068,0.837253584,0.601186287,1.651166656,4.444272309,0,0.534788245,0.124397954,1.973345933,0.489407435,0.378892759,0.78742576,0.589646421,3.086753601,3.487601113,1.063716908
p__Actinobacteria; g__Thermobifida,1.545794362,0.456692993,0.211536712,0.39745628,3.44278866,0.271617384,0.275459938,3.191173973,2.543332452,0,0.861603284,0,2.056726747,0.63557567,0,1.345883746,5.409727775,5.622658895,4.787163507,2.474932357
p__Firmicutes; g__Thermoactinomyces,0.11589377,0.165284213,0.116004003,0.12229424,0.073059178,0.224014337,0.128682015,0.092592198,0.082928563,0,0,0,0,0,0.128726386,0.273644413,3.89945416,0.140215933,0,0.29975065
p__Firmicutes; g__Symbiobacterium,0.290550577,0.624774323,0.982622145,0.424972484,0.423342908,0.408826165,0.705740424,0.397854247,0.400441678,0.348051137,0.024308557,0.253122794,0.65037035,0.123278354,0.234014855,0.402927437,0.260334457,0.302465797,0.464129426,0.124675049
p__Actinobacteria; g__Streptomyces,0.610482673,0.856172221,0.78928214,0.904977376,0.496402086,1.083669355,0.949029858,0.481375941,0.786340481,1.131166194,0,0.178484022,0,0,0,0.106107017,0.100128637,0.284438035,0.271847235,0.140591013
p__Proteobacteria; g__Steroidobacter,0.342784389,0.277677477,0.350286598,0.531979944,0.278225363,0.753248208,0.476525586,0.255222084,0.371128102,0,0.032411409,0,2.059506108,0.054499714,0,0,0,0,0.271847235,0.071621837
p__Actinobacteria; g__Saccharomonospora,0.488059677,0,0.063688472,0.134523664,1.822476206,0.134408602,0.090479542,1.155393572,0.362888405,0,0.418647364,0,0.972776164,0.510117327,0.245308773,0.675734163,0.492299134,4.474891333,2.280864607,2.74550374
p__Proteobacteria; g__Rheinheimera,1.023456246,0.452878742,0.834773906,0.483062248,1.29504899,0.358422939,0.402131296,0.549617791,0.233977017,0.870127842,0.059420916,0.116014614,0,0.138865272,0.08816543,0.252981468,2.271668463,0,0.165760509,0.177728261
p__Proteobacteria; g__Ralstonia,19.59257627,2.355596693,15.01910654,15.85850556,10.89482481,3.867047492,12.02171509,13.42748192,1.694947433,13.04187769,1.36127917,0.548432721,6.122931113,2.70046085,1.19241923,2.058196907,4.496193026,0.64098712,5.218140829,1.037190302
p__Proteobacteria; g__Pusillimonas,0.150172208,0,0,0,0.254205907,0,0,1.201689671,0.071119596,0,0.313310285,0,0,0.316098344,0.218591976,0.480273868,0.330980774,2.203393226,1.571409627,0.355456523
p__Proteobacteria; g__Pseudoxanthomonas,0.01469076,0,0.034118824,0,0.118095657,0.092405914,0,0.039751943,0.04936224,0,0.135047537,0,0,0.130799315,0.204019178,0.469104708,0.308729966,2.381667768,0.53043363,2.490848321
p__Proteobacteria; g__Pseudomonas,2.760230482,2.597250688,1.942498408,2.840283723,2.642140134,5.712365591,2.835025636,1.236541106,1.110650397,0.557774258,0.621218669,0.97463093,5.662946956,0.098099486,0.799803753,1.18393093,1.075826582,0.222342407,2.645537727,1.846251791
p__Planctomycetes; g__Planctomyces,1.41194522,1.867711602,1.808297698,1.137336431,0.633513146,1.666106631,1.272745551,0.817471618,0.770050942,0.82662145,0.018906655,0.206067916,0.218179797,0.078806587,0.150099824,0.185408051,0.113896325,0,0.35141228,0.103453764
p__Firmicutes; g__Lactobacillus,0.99733934,0.546285513,0.486761896,1.657086952,1.648335151,0.17641129,0,0.185367024,0.224788046,1.740255684,59.77203976,0,9.645770506,7.533168528,6.669484074,19.49772288,1.743907103,0.993530036,2.844450338,1.379383521
p__Verrucomicrobia; g__Haloferula,0.411341266,2.000108494,0.771085434,0.100892748,0.192155646,0.546034946,0.631346134,0.416817081,0.266556095,0.609089489,0.054019015,0.274216361,0,0.323510305,0.232800455,0.284255115,0.037965442,0.010015424,0.457499005,0.055705873
p__Proteobacteria; g__Devosia,0.600688834,0.846255168,0.470839778,0.483062248,0.272220499,0.803651434,0.816326531,0.28167265,0.537744647,0,0,0,0,0.085019554,0,0.15245903,0.092201787,0.070107966,0.311629757,0.039789909
p__Proteobacteria; g__Cellvibrio,0.599056527,0.548743586,0.966700027,0.495291672,0.421341286,0.473230287,0.619282196,0.301518183,0.436855823,0.870127842,0.089131374,0.210935662,0.758765408,0.249717691,0.080514711,0.49339763,0.471856204,0.034052441,0.039782522,0.108759085
p__Firmicutes; g__Brevibacillus,0.618644206,0.300817267,0.277499772,0.278219396,0.216175102,0.302419355,0.263395999,0.17760535,0.12860762,0,0.029710458,0,1.278505816,0.289938481,0.416174835,0.929832546,0.300385912,0.653005629,0.689563718,0.636638548
p__Proteobacteria; g__Brachymonas,1.294419144,3.810436808,2.38149395,0.843830256,0.550445861,2.584565412,2.209711471,0.615272416,2.504032515,4.133107249,0.105337079,1.226131143,1.801025584,0.170039109,0.217863336,0.772068165,0.468240448,0.264407187,1.816735181,0.392593772
p__Firmicutes; g__Bacillus,2.998547247,2.948670352,2.829587844,3.149076678,2.710195258,2.648969534,3.172815924,2.129407488,3.440092468,3.262979407,1.477420052,1.42570873,2.834947679,7.558020398,13.28055551,18.3989568,5.534471369,17.37475712,8.002917384,19.83924877
